country,date,sector,value20,value21,,country,date,sector,value20a,valuie21a,,,country,date,sector,value20b,value21b,,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d
China,1/7/2020,Power,15.6474,16.7586,,China,1/7/2020,Industry,9.85018,11.3256,,,China,1/7/2020,Domestic Aviation,0.175264,0.157986,,,China,1/7/2020,International Aviation,0.0866091,0.0319084,,China,1/7/2020,Residential,3.4986,5.05419
EU27 & UK,1/7/2020,Power,2.87603,3.1854,,EU27 & UK,1/7/2020,Industry,1.7226,1.83571,,,EU27 & UK,1/7/2020,Domestic Aviation,0.0419835,0.0188431,,,EU27 & UK,1/7/2020,International Aviation,0.418079,0.152774,,EU27 & UK,1/7/2020,Residential,2.768,3.23698
India,1/7/2020,Power,3.40035,3.41291,,India,1/7/2020,Industry,2.14414,1.98385,,,India,1/7/2020,Domestic Aviation,0.0210049,0.015554,,,India,1/7/2020,International Aviation,0.0349201,0.0166196,,India,1/7/2020,Residential,1.42109,0.838383
ROW,1/7/2020,Power,9.87728,9.2704,,ROW,1/7/2020,Industry,9.57744,9.35335,,,ROW,1/7/2020,Domestic Aviation,0.197035,0.129458,,,ROW,1/7/2020,International Aviation,0.763719,0.322889,,ROW,1/7/2020,Residential,5.58712,5.52125
Russia,1/7/2020,Power,2.64758,2.4451,,Russia,1/7/2020,Industry,0.64506,0.600876,,,Russia,1/7/2020,Domestic Aviation,0.0421522,0.0399969,,,Russia,1/7/2020,International Aviation,0.0320908,0.00965212,,Russia,1/7/2020,Residential,0.77195,0.908283
United States,1/7/2020,Power,3.88363,4.58572,,United States,1/7/2020,Industry,2.83316,2.96652,,,United States,1/7/2020,Domestic Aviation,0.494261,0.331913,,,United States,1/7/2020,International Aviation,0.219429,0.118095,,United States,1/7/2020,Residential,2.81352,2.87951
WORLD,1/7/2020,Power,40.4704,41.8032,,WORLD,1/7/2020,Industry,27.8553,29.0612,,,WORLD,1/7/2020,Domestic Aviation,1.03113,0.73494,,,WORLD,1/7/2020,International Aviation,1.62573,0.679631,,WORLD,1/7/2020,Residential,17.4654,19.2634
Brazil,1/8/2020,Power,0.310592,0.340742,,Brazil,1/8/2020,Industry,0.323746,0.353789,,,Brazil,1/8/2020,Domestic Aviation,0.0272945,0.0299925,,,Brazil,1/8/2020,International Aviation,0.019303,0.009222,,Brazil,1/8/2020,Residential,0.0984519,0.0984519
China,1/8/2020,Power,15.4023,16.6146,,China,1/8/2020,Industry,9.69587,11.2282,,,China,1/8/2020,Domestic Aviation,0.164148,0.16875,,,China,1/8/2020,International Aviation,0.0843144,0.0312827,,China,1/8/2020,Residential,3.65757,4.83991
EU27 & UK,1/8/2020,Power,3.0114,3.07758,,EU27 & UK,1/8/2020,Industry,1.80368,1.77358,,,EU27 & UK,1/8/2020,Domestic Aviation,0.022899,0.0222525,,,EU27 & UK,1/8/2020,International Aviation,0.371858,0.169979,,EU27 & UK,1/8/2020,Residential,2.49706,3.28417
India,1/8/2020,Power,3.38404,3.84178,,India,1/8/2020,Industry,2.13386,2.23314,,,India,1/8/2020,Domestic Aviation,0.0191901,0.0165445,,,India,1/8/2020,International Aviation,0.0361762,0.0152997,,India,1/8/2020,Residential,1.55735,1.01308
ROW,1/8/2020,Power,9.83011,9.36258,,ROW,1/8/2020,Industry,9.4515,9.41054,,,ROW,1/8/2020,Domestic Aviation,0.15622,0.129818,,,ROW,1/8/2020,International Aviation,0.758282,0.34229,,ROW,1/8/2020,Residential,5.40117,5.91815
Russia,1/8/2020,Power,2.64853,2.48547,,Russia,1/8/2020,Industry,0.645292,0.610798,,,Russia,1/8/2020,Domestic Aviation,0.0418221,0.0449909,,,Russia,1/8/2020,International Aviation,0.0316773,0.010563,,Russia,1/8/2020,Residential,0.772968,0.879552
United States,1/8/2020,Power,3.621,4.84699,,United States,1/8/2020,Industry,2.64498,3.07791,,,United States,1/8/2020,Domestic Aviation,0.419206,0.3356,,,United States,1/8/2020,International Aviation,0.204066,0.117068,,United States,1/8/2020,Residential,3.10136,3.08774
WORLD,1/8/2020,Power,39.9258,42.2095,,WORLD,1/8/2020,Industry,27.4082,29.2681,,,WORLD,1/8/2020,Domestic Aviation,0.873962,0.762157,,,WORLD,1/8/2020,International Aviation,1.5597,0.716564,,WORLD,1/8/2020,Residential,17.5498,19.9219
