country,date,sector,value20,,country,date,sector,value21,,Country,date,sector,value19
India,1/5/2020,Domestic Aviation,0.0211656,,India,1/5/2021,Domestic Aviation,0.0151509,,India,5/1/2019,Domestic Aviation,0.0202223
India,1/5/2020,Ground Transport,0.786747,,India,1/5/2021,Ground Transport,0.826271,,India,5/1/2019,Ground Transport,0.8345
India,1/5/2020,Industry,2.04596,,India,1/5/2021,Industry,1.97342,,India,5/1/2019,Industry,2.11818
India,1/5/2020,International Aviation,0.0374575,,India,1/5/2021,International Aviation,0.0131802,,India,5/1/2019,International Aviation,0.0356085
India,1/5/2020,Power,3.24465,,India,1/5/2021,Power,3.39497,,India,5/1/2019,Power,3.42195
India,1/5/2020,Residential,1.73143,,India,1/5/2021,Residential,0.576415,,India,5/1/2019,Residential,1.36737
Russia,1/5/2020,Domestic Aviation,0.0425093,,Russia,1/5/2021,Domestic Aviation,0.0397757,,Russia,5/1/2019,Domestic Aviation,0.0377107
Russia,1/5/2020,Ground Transport,0.564171,,Russia,1/5/2021,Ground Transport,0.594516,,Russia,5/1/2019,Ground Transport,0.57264
Russia,1/5/2020,Industry,0.635538,,Russia,1/5/2021,Industry,0.611507,,Russia,5/1/2019,Industry,0.616694
Russia,1/5/2020,International Aviation,0.035552,,Russia,1/5/2021,International Aviation,0.00932448,,Russia,5/1/2019,International Aviation,0.0349482
Russia,1/5/2020,Power,2.6085,,Russia,1/5/2021,Power,2.48836,,Russia,5/1/2019,Power,2.84383
Russia,1/5/2020,Residential,0.70836,,Russia,1/5/2021,Residential,0.888526,,Russia,5/1/2019,Residential,0.887479
Brazil,1/6/2020,Domestic Aviation,0.0348123,,Brazil,1/6/2021,Domestic Aviation,0.0294129,,Brazil,6/1/2019,Domestic Aviation,0.0296616
Brazil,1/6/2020,Ground Transport,0.469079,,Brazil,1/6/2021,Ground Transport,0.438064,,Brazil,6/1/2019,Ground Transport,0.262905
Brazil,1/6/2020,Industry,0.322689,,Brazil,1/6/2021,Industry,0.363165,,Brazil,6/1/2019,Industry,0.266115
Brazil,1/6/2020,International Aviation,0.0209789,,Brazil,1/6/2021,International Aviation,0.00790684,,Brazil,6/1/2019,International Aviation,0.0217569
Brazil,1/6/2020,Power,0.309577,,Brazil,1/6/2021,Power,0.349773,,Brazil,6/1/2019,Power,0.119368
Brazil,1/6/2020,Residential,0.0984519,,Brazil,1/6/2021,Residential,0.0984519,,Brazil,6/1/2019,Residential,0.0984519
