country,date,sector,value20,value21,,country,date,sector,value20a,value21a,,country,date,sector,value20b,value21b,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d,,country,date,sector,value20e,value21e
India,1/16/2020,Power,3.165,3.51948,,India,1/16/2020,Industry,1.99574,2.0458,,India,1/16/2020,Domestic Aviation,0.0210404,0.015653,,India,1/16/2020,International Aviation,0.0355966,0.0162208,,India,1/16/2020,Ground Transport,0.86071,0.834227,,India,1/16/2020,Residential,1.30729,1.90771
Russia,1/16/2020,Power,2.68994,2.75199,,Russia,1/16/2020,Industry,0.655382,0.676293,,Russia,1/16/2020,Domestic Aviation,0.0409834,0.035714,,Russia,1/16/2020,International Aviation,0.0317859,0.0116206,,Russia,1/16/2020,Ground Transport,0.68283,0.683007,,Russia,1/16/2020,Residential,0.682741,1.0084
Brazil,1/17/2020,Power,0.275157,0.314051,,Brazil,1/17/2020,Industry,0.286811,0.326075,,Brazil,1/17/2020,Domestic Aviation,0.0349454,0.0240104,,Brazil,1/17/2020,International Aviation,0.0193472,0.00728169,,Brazil,1/17/2020,Ground Transport,0.494195,0.229931,,Brazil,1/17/2020,Residential,0.0984519,0.0984519
China,1/17/2020,Power,14.1182,16.1843,,China,1/17/2020,Industry,8.88757,10.9374,,China,1/17/2020,Domestic Aviation,0.187471,0.159656,,China,1/17/2020,International Aviation,0.0900303,0.0329918,,China,1/17/2020,Ground Transport,2.63871,2.46615,,China,1/17/2020,Residential,3.8911,4.06037
India,1/17/2020,Power,3.29695,3.50106,,India,1/17/2020,Industry,2.07894,2.03509,,India,1/17/2020,Domestic Aviation,0.0215776,0.0158881,,India,1/17/2020,International Aviation,0.0368584,0.0184406,,India,1/17/2020,Ground Transport,0.862535,0.745698,,India,1/17/2020,Residential,1.38158,1.80608
Russia,1/17/2020,Power,2.71094,2.69426,,Russia,1/17/2020,Industry,0.660498,0.662107,,Russia,1/17/2020,Domestic Aviation,0.0426819,0.0352127,,Russia,1/17/2020,International Aviation,0.0310842,0.0112092,,Russia,1/17/2020,Ground Transport,0.68515,0.642933,,Russia,1/17/2020,Residential,0.684278,1.08009
Brazil,1/18/2020,Power,0.317484,0.336981,,Brazil,1/18/2020,Industry,0.33093,0.349883,,Brazil,1/18/2020,Domestic Aviation,0.0334185,0.0282464,,Brazil,1/18/2020,International Aviation,0.0212471,0.00756554,,Brazil,1/18/2020,Ground Transport,0.442233,0.458362,,Brazil,1/18/2020,Residential,0.0984519,0.0984519
China,1/18/2020,Power,13.9111,15.9463,,China,1/18/2020,Industry,8.75714,10.7765,,China,1/18/2020,Domestic Aviation,0.192114,0.152457,,China,1/18/2020,International Aviation,0.0942288,0.0257979,,China,1/18/2020,Ground Transport,2.34442,2.44382,,China,1/18/2020,Residential,3.78387,3.91577
India,1/18/2020,Power,3.3178,3.59164,,India,1/18/2020,Industry,2.09209,2.08774,,India,1/18/2020,Domestic Aviation,0.0205941,0.0165449,,India,1/18/2020,International Aviation,0.038265,0.0137654,,India,1/18/2020,Ground Transport,0.852221,0.819241,,India,1/18/2020,Residential,1.43139,1.38482
Russia,1/18/2020,Power,2.62233,2.8751,,Russia,1/18/2020,Industry,0.638908,0.706547,,Russia,1/18/2020,Domestic Aviation,0.039102,0.035886,,Russia,1/18/2020,International Aviation,0.0337061,0.00935517,,Russia,1/18/2020,Ground Transport,0.625046,0.697255,,Russia,1/18/2020,Residential,0.728585,1.13202
Brazil,1/19/2020,Power,0.305443,0.342179,,Brazil,1/19/2020,Industry,0.318379,0.35528,,Brazil,1/19/2020,Domestic Aviation,0.0310145,0.0284088,,Brazil,1/19/2020,International Aviation,0.0192231,0.00660719,,Brazil,1/19/2020,Ground Transport,0.33735,0.46752,,Brazil,1/19/2020,Residential,0.0984519,0.0984519
