country,date,sector,value20,,country,date,sector,value21,,country,date,sector,value19
India,1/3/2020,Ground Transport,0.848483,,India,1/3/2021,Ground Transport,0.679939,,India,3/1/2019,Ground Transport,0.841574
India,1/3/2020,Industry,2.12503,,India,1/3/2021,Industry,1.93473,,India,3/1/2019,Industry,2.11367
India,1/3/2020,International Aviation,0.0362615,,India,1/3/2021,International Aviation,0.0150328,,India,3/1/2019,International Aviation,0.0346596
India,1/3/2020,Power,3.37005,,India,1/3/2021,Power,3.32841,,India,3/1/2019,Power,3.41466
India,1/3/2020,Residential,1.35679,,India,1/3/2021,Residential,0.900979,,India,3/1/2019,Residential,1.59139
ROW,1/3/2020,Domestic Aviation,0.2038,,ROW,1/3/2021,Domestic Aviation,0.142896,,ROW,3/1/2019,Domestic Aviation,0.191743
ROW,1/3/2020,Ground Transport,5.70996,,ROW,1/3/2021,Ground Transport,4.0313,,ROW,3/1/2019,Ground Transport,5.76206
ROW,1/3/2020,Industry,9.18468,,ROW,1/3/2021,Industry,8.72251,,ROW,3/1/2019,Industry,9.23936
ROW,1/3/2020,International Aviation,0.83356,,ROW,1/3/2021,International Aviation,0.359976,,ROW,3/1/2019,International Aviation,0.780727
ROW,1/3/2020,Power,9.50116,,ROW,1/3/2021,Power,8.29908,,ROW,3/1/2019,Power,9.7196
ROW,1/3/2020,Residential,4.94583,,ROW,1/3/2021,Residential,5.32016,,ROW,3/1/2019,Residential,5.25701
Russia,1/3/2020,Domestic Aviation,0.0439767,,Russia,1/3/2021,Domestic Aviation,0.0420806,,Russia,3/1/2019,Domestic Aviation,0.0375244
Russia,1/3/2020,Ground Transport,0.578099,,Russia,1/3/2021,Ground Transport,0.492543,,Russia,3/1/2019,Ground Transport,0.511554
Russia,1/3/2020,Industry,0.64031,,Russia,1/3/2021,Industry,0.596925,,Russia,3/1/2019,Industry,0.622871
Russia,1/3/2020,International Aviation,0.0342188,,Russia,1/3/2021,International Aviation,0.0127882,,Russia,3/1/2019,International Aviation,0.0323907
Russia,1/3/2020,Power,2.62808,,Russia,1/3/2021,Power,2.42902,,Russia,3/1/2019,Power,2.87231
Russia,1/3/2020,Residential,0.730222,,Russia,1/3/2021,Residential,0.871592,,Russia,3/1/2019,Residential,0.840178
United States,1/3/2020,Domestic Aviation,0.52675,,United States,1/3/2021,Domestic Aviation,0.381931,,United States,3/1/2019,Domestic Aviation,0.498628
United States,1/3/2020,Ground Transport,4.65723,,United States,1/3/2021,Ground Transport,3.98672,,United States,3/1/2019,Ground Transport,4.44802
United States,1/3/2020,Industry,2.72751,,United States,1/3/2021,Industry,2.7477,,United States,3/1/2019,Industry,2.93906
United States,1/3/2020,International Aviation,0.232614,,United States,1/3/2021,International Aviation,0.12114,,United States,3/1/2019,International Aviation,0.219479
United States,1/3/2020,Power,3.65034,,United States,1/3/2021,Power,3.72185,,United States,3/1/2019,Power,4.45385
United States,1/3/2020,Residential,2.29615,,United States,1/3/2021,Residential,2.8088,,United States,3/1/2019,Residential,2.98491
WORLD,1/3/2020,Domestic Aviation,1.07613,,WORLD,1/3/2021,Domestic Aviation,0.841736,,WORLD,3/1/2019,Domestic Aviation,1.01224
WORLD,1/3/2020,Ground Transport,17.7852,,WORLD,1/3/2021,Ground Transport,13.8075,,WORLD,3/1/2019,Ground Transport,17.3509
WORLD,1/3/2020,Industry,26.4734,,WORLD,1/3/2021,Industry,27.084,,WORLD,3/1/2019,Industry,27.4372
WORLD,1/3/2020,International Aviation,1.77013,,WORLD,1/3/2021,International Aviation,0.761456,,WORLD,3/1/2019,International Aviation,1.66669
WORLD,1/3/2020,Power,38.1976,,WORLD,1/3/2021,Power,38.0303,,WORLD,3/1/2019,Power,39.6082
WORLD,1/3/2020,Residential,16.0036,,WORLD,1/3/2021,Residential,17.6793,,WORLD,3/1/2019,Residential,18.5517
Brazil,1/4/2020,Domestic Aviation,0.0325312,,Brazil,1/4/2021,Domestic Aviation,0.0302881,,Brazil,4/1/2019,Domestic Aviation,0.032854
Brazil,1/4/2020,Ground Transport,0.390397,,Brazil,1/4/2021,Ground Transport,0.395974,,Brazil,4/1/2019,Ground Transport,0.443308
