country,date,sector,value,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,
EU27 & UK,1/4/2020,Power,2.01201,,,EU27 & UK,1/4/2020,Industry,1.2051,,,,EU27 & UK,1/4/2020,Domestic Aviation,0.0348177,,,,EU27 & UK,1/4/2020,International Aviation,0.489925,,,,EU27 & UK,1/4/2020,Ground Transport,2.1797,,,,EU27 & UK,1/4/2020,Residential,2.65245,,
India,1/4/2020,Power,3.43196,,,India,1/4/2020,Industry,2.16407,,,,India,1/4/2020,Domestic Aviation,0.0213587,,,,India,1/4/2020,International Aviation,0.0376314,,,,India,1/4/2020,Ground Transport,0.841096,,,,India,1/4/2020,Residential,1.55666,,
ROW,1/4/2020,Power,9.0692,,,ROW,1/4/2020,Industry,8.8618,,,,ROW,1/4/2020,Domestic Aviation,0.183573,,,,ROW,1/4/2020,International Aviation,0.872034,,,,ROW,1/4/2020,Ground Transport,5.51694,,,,ROW,1/4/2020,Residential,5.05801,,
Russia,1/4/2020,Power,2.61488,,,Russia,1/4/2020,Industry,0.637093,,,,Russia,1/4/2020,Domestic Aviation,0.0405575,,,,Russia,1/4/2020,International Aviation,0.0370518,,,,Russia,1/4/2020,Ground Transport,0.602143,,,,Russia,1/4/2020,Residential,0.717294,,
United States,1/4/2020,Power,3.42812,,,United States,1/4/2020,Industry,2.69125,,,,United States,1/4/2020,Domestic Aviation,0.492464,,,,United States,1/4/2020,International Aviation,0.239601,,,,United States,1/4/2020,Ground Transport,4.279,,,,United States,1/4/2020,Residential,2.45273,,
WORLD,1/4/2020,Power,37.4166,,,WORLD,1/4/2020,Industry,26.028,,,,WORLD,1/4/2020,Domestic Aviation,1.0099,,,,WORLD,1/4/2020,International Aviation,1.84192,,,,WORLD,1/4/2020,Ground Transport,16.6885,,,,WORLD,1/4/2020,Residential,16.3754,,
Brazil,1/5/2020,Power,0.317714,,,Brazil,1/5/2020,Industry,0.33117,,,,Brazil,1/5/2020,Domestic Aviation,0.0310212,,,,Brazil,1/5/2020,International Aviation,0.0202887,,,,Brazil,1/5/2020,Ground Transport,0.292273,,,,Brazil,1/5/2020,Residential,0.0984519,,
China,1/5/2020,Power,15.6124,,,China,1/5/2020,Industry,9.82813,,,,China,1/5/2020,Domestic Aviation,0.173781,,,,China,1/5/2020,International Aviation,0.0847671,,,,China,1/5/2020,Ground Transport,2.35542,,,,China,1/5/2020,Residential,3.20165,,
EU27 & UK,1/5/2020,Power,2.11162,,,EU27 & UK,1/5/2020,Industry,1.26476,,,,EU27 & UK,1/5/2020,Domestic Aviation,0.0392761,,,,EU27 & UK,1/5/2020,International Aviation,0.490512,,,,EU27 & UK,1/5/2020,Ground Transport,1.76332,,,,EU27 & UK,1/5/2020,Residential,2.75575,,
India,1/5/2020,Power,3.24465,,,India,1/5/2020,Industry,2.04596,,,,India,1/5/2020,Domestic Aviation,0.0211656,,,,India,1/5/2020,International Aviation,0.0374575,,,,India,1/5/2020,Ground Transport,0.786747,,,,India,1/5/2020,Residential,1.73143,,
ROW,1/5/2020,Power,8.82137,,,ROW,1/5/2020,Industry,8.67756,,,,ROW,1/5/2020,Domestic Aviation,0.190562,,,,ROW,1/5/2020,International Aviation,0.875539,,,,ROW,1/5/2020,Ground Transport,5.09955,,,,ROW,1/5/2020,Residential,5.42906,,
Russia,1/5/2020,Power,2.6085,,,Russia,1/5/2020,Industry,0.635538,,,,Russia,1/5/2020,Domestic Aviation,0.0425093,,,,Russia,1/5/2020,International Aviation,0.035552,,,,Russia,1/5/2020,Ground Transport,0.564171,,,,Russia,1/5/2020,Residential,0.70836,,
United States,1/5/2020,Power,3.29865,,,United States,1/5/2020,Industry,2.6101,,,,United States,1/5/2020,Domestic Aviation,0.493821,,,,United States,1/5/2020,International Aviation,0.242153,,,,United States,1/5/2020,Ground Transport,3.80183,,,,United States,1/5/2020,Residential,2.82497,,
WORLD,1/5/2020,Power,37.3868,,,WORLD,1/5/2020,Industry,25.9596,,,,WORLD,1/5/2020,Domestic Aviation,1.01937,,,,WORLD,1/5/2020,International Aviation,1.84272,,,,WORLD,1/5/2020,Ground Transport,15.0715,,,,WORLD,1/5/2020,Residential,17.3536,,
Brazil,1/6/2020,Power,0.309577,,,Brazil,1/6/2020,Industry,0.322689,,,,Brazil,1/6/2020,Domestic Aviation,0.0348123,,,,Brazil,1/6/2020,International Aviation,0.0209789,,,,Brazil,1/6/2020,Ground Transport,0.469079,,,,Brazil,1/6/2020,Residential,0.0984519,,
China,1/6/2020,Power,15.6124,,,China,1/6/2020,Industry,9.82813,,,,China,1/6/2020,Domestic Aviation,0.169253,,,,China,1/6/2020,International Aviation,0.0820213,,,,China,1/6/2020,Ground Transport,2.58108,,,,China,1/6/2020,Residential,3.18831,,
EU27 & UK,1/6/2020,Power,2.45157,,,EU27 & UK,1/6/2020,Industry,1.46837,,,,EU27 & UK,1/6/2020,Domestic Aviation,0.0443658,,,,EU27 & UK,1/6/2020,International Aviation,0.458389,,,,EU27 & UK,1/6/2020,Ground Transport,2.18044,,,,EU27 & UK,1/6/2020,Residential,2.91259,,
India,1/6/2020,Power,3.31411,,,India,1/6/2020,Industry,2.08976,,,,India,1/6/2020,Domestic Aviation,0.0214552,,,,India,1/6/2020,International Aviation,0.034192,,,,India,1/6/2020,Ground Transport,0.854194,,,,India,1/6/2020,Residential,1.6355,,
